5988:  51.001493:-114.051607:72,66
5989:  50.998700:-114.063929:72
5982:  51.022752:-114.040744:30,66
5983:  51.015957:-114.036700:30,66
5980:  51.015801:-114.047576:30
5981:  51.022816:-114.045746:30
5986:  50.996244:-114.038242:72
5987:  51.001851:-114.038740:72,66
5984:  51.081055:-114.137768:9
5985:  50.999118:-114.037374:73
6796:  51.069154:-114.159817:40
6797:  51.031112:-114.059412:10
6794:  51.078789:-114.164325:407,408
6795:  51.072074:-114.163750:40,408
6792:  51.075999:-114.164281:407,408
6793:  51.136618:-114.199483:813
6790:  51.037449:-114.170974:94,698
6791:  51.136126:-114.200342:813
6798:  51.077939:-114.164519:408,407
6799:  51.080738:-114.159764:10
9528:  51.114434:-113.936954:61,758
9529:  51.116917:-113.936961:61,758
9258:  50.935835:-114.124620:56,778,779
9259:  50.961566:-114.099786:16,84,79,56
9256:  50.915238:-114.047275:52
9525:  50.917747:-114.108291:12,857,766
9254:  51.128710:-113.946959:60,159,59,741
9527:  51.113839:-113.939980:61,71,758,751,798
9252:  51.132604:-113.942113:159,741
9253:  51.131776:-113.946900:159,741
9522:  50.926393:-113.971506:92,117,714
9523:  50.926511:-113.966374:92,117,714
3519:  50.917974:-113.918572:153,151,717
3518:  50.917953:-113.918397:717
3513:  50.923997:-113.929826:153,151,717
3512:  50.924112:-113.929996:717
3511:  50.923031:-113.932345:153,151,717
3517:  50.921234:-113.920146:153,151,717
3516:  50.921263:-113.920128:717
3515:  50.924537:-113.925575:153,151,717
3514:  50.924909:-113.925575:717
7188:  51.123834:-114.189622:137
7189:  51.120509:-114.188252:137
7180:  51.116664:-114.197832:43,832,838,725
7181:  51.116160:-114.202678:43,832,838,725
7182:  51.117186:-114.185110:43,815
7183:  51.115730:-114.181812:43,815
7184:  51.114299:-114.179155:43,815
7185:  51.121084:-114.190475:37
7186:  51.120402:-114.186429:37
7187:  51.121535:-114.190148:137
8549:  51.157578:-114.147908:429,819,804,703
8548:  51.014731:-114.159609:112,732
8019:  51.052434:-114.107439:1,405
8018:  51.037719:-114.153595:2
8017:  51.037727:-114.137730:2,6,94,698
8016:  51.160979:-114.149949:429,703
8015:  51.158825:-114.128255:425,884
8014:  51.048578:-114.211141:98
8541:  51.037751:-114.126244:2,698
8012:  51.137814:-114.128667:154,796,797,706,804,819
8011:  51.138604:-114.129333:154,796,797,706,804,819
8010:  51.139157:-114.130257:54,819,804,706
7456:  51.052570:-114.086523:1,405
7457:  51.052576:-114.091104:1,405
7454:  50.940028:-113.985340:96,102,860,711,825
7455:  50.940745:-113.988739:96,102,860,711,825
7452:  50.924579:-113.980632:96,719,860,103
7453:  50.939117:-113.983506:96,102,860,711,825
7450:  51.154061:-114.055058:86,430,744,746
7451:  51.154379:-114.053393:86,430,116,744,746
2035:  51.172571:-114.160533:803,702
7458:  51.037900:-114.135979:2,6,94,698
7459:  51.037887:-114.138747:2,6,94,698
2034:  51.171528:-114.159184:702
4848:  51.164420:-114.042796:86,116
4849:  51.039734:-114.081836:2,13
2031:  51.179856:-114.161529:702
4595:  50.999046:-114.140897:47,733,18,63
4598:  50.994647:-114.126957:47,733,18,63
8291:  50.937261:-114.017337:29,715
4847:  51.037900:-114.114422:2,698
8290:  50.934405:-114.017861:29,715
8293:  50.921096:-114.013063:28,713
8292:  50.940052:-114.020603:29,715
2039:  51.172536:-114.155891:803,702
2038:  51.179002:-114.162744:803,702
6533:  51.134884:-114.108334:46,89
6530:  51.021198:-114.144510:13
8296:  50.921988:-114.002959:28,713
2309:  51.055976:-114.086136:5,9,145
2308:  51.137240:-114.190388:199,299
4729:  51.182415:-114.141365:425
4728:  50.978212:-114.058748:880
2301:  50.968246:-113.958533:409,176
2300:  50.969216:-113.958206:409,176
2303:  50.910127:-113.949416:406,825
2302:  50.910794:-113.949361:406,861,697,825
4721:  51.154380:-114.048802:430
4720:  51.118033:-114.249382:74,811,721
4723:  51.114122:-113.937746:60,71,798,751,758
4722:  51.113925:-113.941203:60,798
5847:  50.984678:-113.998892:24,770
5846:  50.984969:-114.003903:24,770
5845:  50.989396:-114.010274:24,735,770
5844:  50.993686:-114.010269:36,41,24,851,735,770
5843:  50.994052:-114.012611:36,41,24,851,735,770
5842:  50.997681:-114.020132:36,41,24,851,735,770
5841:  50.999168:-114.011114:24,75
5840:  51.008376:-114.011362:24
5849:  50.978346:-113.997149:24
5848:  50.982837:-113.998982:73,24,770,133,151
3748:  51.014599:-114.133842:306
3749:  51.011153:-114.130271:306
3746:  51.021661:-114.141344:306
3747:  51.012364:-114.140020:306
3744:  51.040263:-114.136251:306
3745:  51.029655:-114.141280:306
3742:  51.038522:-113.907132:440
3743:  51.038549:-113.906583:440
3740:  51.046787:-114.152554:93
3741:  51.040501:-114.136632:94
4624:  51.041430:-114.123348:72,412
4626:  51.044673:-114.135604:93
